"Artwork","CulturalPhenomenon","Type"
"http://icondataset.org/ART1024","http://icondataset.org/CF1079","http://icondataset.org/cultural-reinterpretation"
"http://icondataset.org/ART1024","http://icondataset.org/CF1079","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1019","http://icondataset.org/CF1233","http://icondataset.org/iconographical-evolution"
"http://icondataset.org/ART1019","http://icondataset.org/CF1233","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1021","http://icondataset.org/CF1316","http://icondataset.org/iconographical-evolution"
"http://icondataset.org/ART1021","http://icondataset.org/CF1316","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1044","http://icondataset.org/CF1316","http://icondataset.org/iconographical-evolution"
"http://icondataset.org/ART1044","http://icondataset.org/CF1316","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1021","http://icondataset.org/CF1202","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1044","http://icondataset.org/CF1202","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1046","http://icondataset.org/CF1202","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1028","http://icondataset.org/CF1209","http://icondataset.org/iconographical-influence"
"http://icondataset.org/ART1029","http://icondataset.org/CF1209","http://icondataset.org/iconographical-influence"
"http://icondataset.org/ART1030","http://icondataset.org/CF1180","http://icondataset.org/cultural-reinterpretation"
"http://icondataset.org/ART1030","http://icondataset.org/CF1106","http://icondataset.org/iconographical-evolution"
"http://icondataset.org/ART1030","http://icondataset.org/CF1106","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1030","http://icondataset.org/CF1250","http://icondataset.org/iconographical-evolution"
"http://icondataset.org/ART1030","http://icondataset.org/CF1250","http://icondataset.org/reception-of-classical-antiquity"
"http://icondataset.org/ART1031","http://icondataset.org/CF1269","http://icondataset.org/belief"
"http://icondataset.org/ART1032","http://icondataset.org/CF1269","http://icondataset.org/belief"
"http://icondataset.org/ART1034","http://icondataset.org/CF1269","http://icondataset.org/belief"
"http://icondataset.org/ART1032","http://icondataset.org/CF1245","http://icondataset.org/iconographical-evolution"
"http://icondataset.org/ART1033","http://icondataset.org/CF1109","http://icondataset.org/iconographical-evolution"
